BCV	text	func_morph	form_morph	strongs	lemma	normalized
Mark 11:13	ἐλθὼν	V-2AAP-NSM	V-2AAP-NSM	2064&5631	ἔρχομαι	ἐλθών	
Mark 11:13	ἐπ’	PREP	PREP	1909	ἐπί	ἐπ’	
Mark 11:13	αὐτὴν	P-ASF	P-ASF	846	αὐτός	αὐτήν	
Mark 11:13	οὐδὲν	A-ASN-N	A-ASN-N	3762	οὐδείς	οὐδέν	
Mark 11:13	εὗρεν	V-2AAI-3S	V-2AAI-3S	2147&5627	εὑρίσκω	εὗρεν	
Mark 11:13	εἰ	COND	COND	1487	εἰ	εἰ	
Mark 11:13	μὴ	PRT-N	PRT-N	3361	μή	μή	
Mark 11:13	φύλλα·	N-APN	N-APN	5444	φύλλον	φύλλα	
Mark 11:13	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
Mark 11:13	γὰρ	CONJ	CONJ	1063	γάρ	γάρ	
Mark 11:13	καιρὸς	N-NSM	N-NSM	2540	καιρός	καιρός	
Mark 11:13	οὐκ	PRT-N	PRT-N	3756	οὐ	οὐκ	
Mark 11:13	ἦν	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
Mark 11:13	σύκων.	N-GPN	N-GPN	4810	σῦκον	σύκων	
Mark 11:14	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:14	ἀποκριθεὶς	V-AOP-NSM	V-AOP-NSM	611&5679	ἀποκρίνομαι	ἀποκριθείς	
Mark 11:14	εἶπεν	V-2AAI-3S	V-2AAI-3S	3004&5627	λέγω	εἶπεν	
Mark 11:14	αὐτῇ	P-DSF	P-DSF	846	αὐτός	αὐτῇ	
Mark 11:14	Μηκέτι	ADV-N	ADV-N	3371	μηκέτι	Μηκέτι	
Mark 11:14	εἰς	PREP	PREP	1519	εἰς	εἰς	
Mark 11:14	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Mark 11:14	αἰῶνα	N-ASM	N-ASM	165	αἰών	αἰῶνα	
Mark 11:14	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
Mark 11:14	σοῦ	P-2GS	P-2GS	4771	σύ	σοῦ	
Mark 11:14	μηδεὶς	A-NSM-N	A-NSM-N	3367	μηδείς	μηδείς	
Mark 11:14	καρπὸν	N-ASM	N-ASM	2590	καρπός	καρπόν	
Mark 11:14	φάγοι.	V-2AAO-3S	V-2AAO-3S	5315&5630	ἐσθίω	φάγοι	
Mark 11:14	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:14	ἤκουον	V-IAI-3P	V-IAI-3P	191&5707	ἀκούω	ἤκουον	
Mark 11:14	οἱ	T-NPM	T-NPM	3588	ὁ	οἱ	
Mark 11:14	μαθηταὶ	N-NPM	N-NPM	3101	μαθητής	μαθηταί	
Mark 11:14	αὐτοῦ.	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
Mark 11:15	Καὶ	CONJ	CONJ	2532	καί	Καί	
Mark 11:15	ἔρχονται	V-PNI-3P	V-PNI-3P	2064&5736	ἔρχομαι	ἔρχονται	
Mark 11:15	εἰς	PREP	PREP	1519	εἰς	εἰς	
Mark 11:15	Ἱεροσόλυμα.	N-APN	N-APN	2414	Ἱεροσόλυμα	Ἱεροσόλυμα	
Mark 11:15	Καὶ	CONJ	CONJ	2532	καί	Καί	
Mark 11:15	εἰσελθὼν	V-2AAP-NSM	V-2AAP-NSM	1525&5631	εἰσέρχομαι	εἰσελθών	
Mark 11:15	εἰς	PREP	PREP	1519	εἰς	εἰς	
Mark 11:15	τὸ	T-ASN	T-ASN	3588	ὁ	τό	
Mark 11:15	ἱερὸν	N-ASN	N-ASN	2411	ἱερός	ἱερόν	
Mark 11:15	ἤρξατο	V-AMI-3S	V-AMI-3S	756&5668	ἄρχω	ἤρξατο	
Mark 11:15	ἐκβάλλειν	V-PAN	V-PAN	1544&5721	ἐκβάλλω	ἐκβάλλειν	
Mark 11:15	τοὺς	T-APM	T-APM	3588	ὁ	τούς	
Mark 11:15	πωλοῦντας	V-PAP-APM	V-PAP-APM	4453&5723	πωλέω	πωλοῦντας	
Mark 11:15	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:15	τοὺς	T-APM	T-APM	3588	ὁ	τούς	
Mark 11:15	ἀγοράζοντας	V-PAP-APM	V-PAP-APM	59&5723	ἀγοράζω	ἀγοράζοντας	
Mark 11:15	ἐν	PREP	PREP	1722	ἐν	ἐν	
Mark 11:15	τῷ	T-DSN	T-DSN	3588	ὁ	τῷ	
Mark 11:15	ἱερῷ,	N-DSN	N-DSN	2411	ἱερός	ἱερῷ	
Mark 11:15	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:15	τὰς	T-APF	T-APF	3588	ὁ	τάς	
Mark 11:15	τραπέζας	N-APF	N-APF	5132	τράπεζα	τραπέζας	
Mark 11:15	τῶν	T-GPM	T-GPM	3588	ὁ	τῶν	
Mark 11:15	κολλυβιστῶν	N-GPM	N-GPM	2855	κολλυβιστής	κολλυβιστῶν	
Mark 11:15	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:15	τὰς	T-APF	T-APF	3588	ὁ	τάς	
Mark 11:15	καθέδρας	N-APF	N-APF	2515	καθέδρα	καθέδρας	
Mark 11:15	τῶν	T-GPM	T-GPM	3588	ὁ	τῶν	
Mark 11:15	πωλούντων	V-PAP-GPM	V-PAP-GPM	4453&5723	πωλέω	πωλούντων	
Mark 11:15	τὰς	T-APF	T-APF	3588	ὁ	τάς	
Mark 11:15	περιστερὰς	N-APF	N-APF	4058	περιστερά	περιστεράς	
Mark 11:15	κατέστρεψεν,	V-AAI-3S	V-AAI-3S	2690&5656	καταστρέφω	κατέστρεψεν	
Mark 11:16	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:16	οὐκ	PRT-N	PRT-N	3756	οὐ	οὐκ	
Mark 11:16	ἤφιεν	V-IAI-3S	V-IAI-3S	863&5707	ἀφίημι	ἤφιεν	
Mark 11:16	ἵνα	CONJ	CONJ	2443	ἵνα	ἵνα	
Mark 11:16	τις	X-NSM	X-NSM	5100	τὶς	τις	
Mark 11:16	διενέγκῃ	V-2AAS-3S	V-2AAS-3S	1308&5632	διαφέρω	διενέγκῃ	
Mark 11:16	σκεῦος	N-ASN	N-ASN	4632	σκεῦος	σκεῦος	
Mark 11:16	διὰ	PREP	PREP	1223	διά	διά	
Mark 11:16	τοῦ	T-GSN	T-GSN	3588	ὁ	τοῦ	
Mark 11:16	ἱεροῦ,	N-GSN	N-GSN	2411	ἱερός	ἱεροῦ	
Mark 11:17	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:17	ἐδίδασκεν	V-IAI-3S	V-IAI-3S	1321&5707	διδάσκω	ἐδίδασκεν	
Mark 11:17	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:17	ἔλεγεν	V-IAI-3S	V-IAI-3S	3004&5707	λέγω	ἔλεγεν	
Mark 11:17	αὐτοῖς	P-DPM	P-DPM	846	αὐτός	αὐτοῖς	
Mark 11:17	Οὐ	PRT-N	PRT-N	3756	οὐ	Οὐ	
Mark 11:17	γέγραπται	V-RPI-3S	V-RPI-3S	1125&5769	γράφω	γέγραπται	
Mark 11:17	ὅτι	CONJ	CONJ	3754	ὅτι	ὅτι	
Mark 11:17	Ὁ	T-NSM	T-NSM	3588	ὁ	Ὁ	
Mark 11:17	οἶκός	N-NSM	N-NSM	3624	οἶκος	οἶκος	
Mark 11:17	μου	P-1GS	P-1GS	1473	ἐγώ	μου	
Mark 11:17	οἶκος	N-NSM	N-NSM	3624	οἶκος	οἶκος	
Mark 11:17	προσευχῆς	N-GSF	N-GSF	4335	προσευχή	προσευχῆς	
Mark 11:17	κληθήσεται	V-FPI-3S	V-FPI-3S	2564&5701	καλέω	κληθήσεται	
Mark 11:17	πᾶσιν	A-DPN	A-DPN	3956	πᾶς	πᾶσιν	
Mark 11:17	τοῖς	T-DPN	T-DPN	3588	ὁ	τοῖς	
Mark 11:17	ἔθνεσιν;	N-DPN	N-DPN	1484	ἔθνος	ἔθνεσιν	
Mark 11:17	ὑμεῖς	P-2NP	P-2NP	4771	σύ	ὑμεῖς	
Mark 11:17	δὲ	CONJ	CONJ	1161	δέ	δέ	
Mark 11:17	πεποιήκατε	V-RAI-2P	V-RAI-2P	4160&5758	ποιέω	πεποιήκατε	
Mark 11:17	αὐτὸν	P-ASM	P-ASM	846	αὐτός	αὐτόν	
Mark 11:17	σπήλαιον	N-ASN	N-ASN	4693	σπήλαιον	σπήλαιον	
Mark 11:17	λῃστῶν.	N-GPM	N-GPM	3027	λῃστής	λῃστῶν	
Mark 11:18	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:18	ἤκουσαν	V-AAI-3P	V-AAI-3P	191&5656	ἀκούω	ἤκουσαν	
Mark 11:18	οἱ	T-NPM	T-NPM	3588	ὁ	οἱ	
Mark 11:18	ἀρχιερεῖς	N-NPM	N-NPM	749	ἀρχιερεύς	ἀρχιερεῖς	
Mark 11:18	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:18	οἱ	T-NPM	T-NPM	3588	ὁ	οἱ	
Mark 11:18	γραμματεῖς,	N-NPM	N-NPM	1122	γραμματεύς	γραμματεῖς	
Mark 11:18	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:18	ἐζήτουν	V-IAI-3P	V-IAI-3P	2212&5707	ζητέω	ἐζήτουν	
Mark 11:18	πῶς	ADV-I	ADV-I	4459	πῶς	πῶς	
Mark 11:18	αὐτὸν	P-ASM	P-ASM	846	αὐτός	αὐτόν	
Mark 11:18	ἀπολέσωσιν·	V-AAS-3P	V-AAS-3P	622&5661	ἀπόλλυμι	ἀπολέσωσιν	
Mark 11:18	ἐφοβοῦντο	V-INI-3P	V-INI-3P	5399&5711	φοβέω	ἐφοβοῦντο	
Mark 11:18	γὰρ	CONJ	CONJ	1063	γάρ	γάρ	
Mark 11:18	αὐτόν,	P-ASM	P-ASM	846	αὐτός	αὐτόν	
Mark 11:18	πᾶς	A-NSM	A-NSM	3956	πᾶς	πᾶς	
Mark 11:18	γὰρ	CONJ	CONJ	1063	γάρ	γάρ	
Mark 11:18	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
Mark 11:18	ὄχλος	N-NSM	N-NSM	3793	ὄχλος	ὄχλος	
Mark 11:18	ἐξεπλήσσετο	V-IPI-3S	V-IEI-3S	1605&5712	ἐκπλήσσω	ἐξεπλήσσετο	
Mark 11:18	ἐπὶ	PREP	PREP	1909	ἐπί	ἐπί	
Mark 11:18	τῇ	T-DSF	T-DSF	3588	ὁ	τῇ	
Mark 11:18	διδαχῇ	N-DSF	N-DSF	1322	διδαχή	διδαχῇ	
Mark 11:18	αὐτοῦ.	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
Mark 11:19	Καὶ	CONJ	CONJ	2532	καί	Καί	
Mark 11:19	ὅταν	CONJ	CONJ	3752	ὅταν	ὅταν	
Mark 11:19	ὀψὲ	ADV	ADV	3796	ὀψέ	ὀψέ	
Mark 11:19	ἐγένετο,	V-2ADI-3S	V-2ADI-3S	1096&5633	γίνομαι	ἐγένετο	
Mark 11:19	ἐξεπορεύοντο	V-INI-3P	V-INI-3P	1607&5711	ἐκπορεύομαι	ἐξεπορεύοντο	
Mark 11:19	ἔξω	ADV	ADV	1854	ἔξω	ἔξω	
Mark 11:19	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Mark 11:19	πόλεως.	N-GSF	N-GSF	4172	πόλις	πόλεως	
Mark 11:20	Καὶ	CONJ	CONJ	2532	καί	Καί	
Mark 11:20	παραπορευόμενοι	V-PNP-NPM	V-PNP-NPM	3899&5740	παραπορεύομαι	παραπορευόμενοι	
Mark 11:20	πρωῒ	ADV	ADV	4404	πρωΐ	πρωΐ	
Mark 11:20	εἶδον	V-2AAI-3P	V-2AAI-3P	3708&5627	ὁράω	εἶδον	
Mark 11:20	τὴν	T-ASF	T-ASF	3588	ὁ	τήν	
Mark 11:20	συκῆν	N-ASF	N-ASF	4808	συκῆ	συκῆν	
Mark 11:20	ἐξηραμμένην	V-RPP-ASF	V-RPP-ASF	3583&5772	ξηραίνω	ἐξηραμμένην	
Mark 11:20	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
Mark 11:20	ῥιζῶν.	N-GPF	N-GPF	4491	ῥίζα	ῥιζῶν	
Mark 11:21	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:21	ἀναμνησθεὶς	V-AOP-NSM	V-AOP-NSM	363&5679	ἀναμιμνῄσκω	ἀναμνησθείς	
Mark 11:21	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
Mark 11:21	Πέτρος	N-NSM	N-NSM	4074	Πέτρος	Πέτρος	
Mark 11:21	λέγει	V-PAI-3S	V-PAI-3S	3004&5719	λέγω	λέγει	
Mark 11:21	αὐτῷ	P-DSM	P-DSM	846	αὐτός	αὐτῷ	
Mark 11:21	Ῥαββεί,	HEB	HEB	4461	ῥαββί	Ῥαββεί	
Mark 11:21	ἴδε	V-2AAM-2S	V-2AAM-2S	3708&5628	ὁράω	ἴδε	
Mark 11:21	ἡ	T-NSF	T-NSF	3588	ὁ	ἡ	
Mark 11:21	συκῆ	N-NSF	N-NSF	4808	συκῆ	συκῆ	
Mark 11:21	ἣν	R-ASF	R-ASF	3739	ὅς	ἥν	
Mark 11:21	κατηράσω	V-ADI-2S	V-ADI-2S	2672&5662	καταράομαι	κατηράσω	
Mark 11:21	ἐξήρανται.	V-RPI-3S	V-RPI-3S	3583&5769	ξηραίνω	ἐξήρανται	
Mark 11:22	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:22	ἀποκριθεὶς	V-AOP-NSM	V-AOP-NSM	611&5679	ἀποκρίνομαι	ἀποκριθείς	
Mark 11:22	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
Mark 11:22	Ἰησοῦς	N-NSM	N-NSM	2424	Ἰησοῦς	Ἰησοῦς	
Mark 11:22	λέγει	V-PAI-3S	V-PAI-3S	3004&5719	λέγω	λέγει	
Mark 11:22	αὐτοῖς	P-DPM	P-DPM	846	αὐτός	αὐτοῖς	
Mark 11:22	Ἔχετε	V-PAM-2P	V-PAM-2P	2192&5720	ἔχω	Ἔχετε	
Mark 11:22	πίστιν	N-ASF	N-ASF	4102	πίστις	πίστιν	
Mark 11:22	θεοῦ.	N-GSM	N-GSM	2316	θεός	θεοῦ	
Mark 11:23	ἀμὴν	HEB	HEB	281	ἀμήν	ἀμήν	
Mark 11:23	λέγω	V-PAI-1S	V-PAI-1S	3004&5719	λέγω	λέγω	
Mark 11:23	ὑμῖν	P-2DP	P-2DP	4771	σύ	ὑμῖν	
Mark 11:23	ὅτι	CONJ	CONJ	3754	ὅτι	ὅτι	
Mark 11:23	ὃς	R-NSM	R-NSM	3739	ὅς	ὅς	
Mark 11:23	ἂν	PRT	PRT	302	ἄν	ἄν	
Mark 11:23	εἴπῃ	V-2AAS-3S	V-2AAS-3S	3004&5632	λέγω	εἴπῃ	
Mark 11:23	τῷ	T-DSN	T-DSN	3588	ὁ	τῷ	
Mark 11:23	ὄρει	N-DSN	N-DSN	3735	ὄρος	ὄρει	
Mark 11:23	τούτῳ	D-DSN	D-DSN	3778	οὗτος	τούτῳ	
Mark 11:23	Ἄρθητι	V-APM-2S	V-APM-2S	142&5682	αἴρω	Ἄρθητι	
Mark 11:23	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:23	βλήθητι	V-APM-2S	V-APM-2S	906&5682	βάλλω	βλήθητι	
Mark 11:23	εἰς	PREP	PREP	1519	εἰς	εἰς	
Mark 11:23	τὴν	T-ASF	T-ASF	3588	ὁ	τήν	
Mark 11:23	θάλασσαν,	N-ASF	N-ASF	2281	θάλασσα	θάλασσαν	
Mark 11:23	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:23	μὴ	PRT-N	PRT-N	3361	μή	μή	
Mark 11:23	διακριθῇ	V-APS-3S	V-APS-3S	1252&5686	διακρίνω	διακριθῇ	
Mark 11:23	ἐν	PREP	PREP	1722	ἐν	ἐν	
Mark 11:23	τῇ	T-DSF	T-DSF	3588	ὁ	τῇ	
Mark 11:23	καρδίᾳ	N-DSF	N-DSF	2588	καρδία	καρδίᾳ	
Mark 11:23	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
Mark 11:23	ἀλλὰ	CONJ	CONJ	235	ἀλλά	ἀλλά	
Mark 11:23	πιστεύῃ	V-PAS-3S	V-PAS-3S	4100&5725	πιστεύω	πιστεύῃ	
Mark 11:23	ὅτι	CONJ	CONJ	3754	ὅτι	ὅτι	
Mark 11:23	ὃ	R-ASN	R-ASN	3739	ὅς	ὅ	
Mark 11:23	λαλεῖ	V-PAI-3S	V-PAI-3S	2980&5719	λαλέω	λαλεῖ	
Mark 11:23	γίνεται,	V-PNI-3S	V-PNI-3S	1096&5736	γίνομαι	γίνεται	
Mark 11:23	ἔσται	V-FDI-3S	V-FDI-3S	1510&5695	εἰμί	ἔσται	
Mark 11:23	αὐτῷ.	P-DSM	P-DSM	846	αὐτός	αὐτῷ	
Mark 11:24	διὰ	PREP	PREP	1223	διά	διά	
Mark 11:24	τοῦτο	D-ASN	D-ASN	3778	οὗτος	τοῦτο	
Mark 11:24	λέγω	V-PAI-1S	V-PAI-1S	3004&5719	λέγω	λέγω	
Mark 11:24	ὑμῖν,	P-2DP	P-2DP	4771	σύ	ὑμῖν	
Mark 11:24	πάντα	A-APN	A-APN	3956	πᾶς	πάντα	
Mark 11:24	ὅσα	K-APN	K-APN	3745	ὅσος	ὅσα	
Mark 11:24	προσεύχεσθε	V-PNI-2P	V-PNI-2P	4336&5736	προσεύχομαι	προσεύχεσθε	
Mark 11:24	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:24	αἰτεῖσθε,	V-PMI-2P	V-PEI-2P	154&5731	αἰτέω	αἰτεῖσθε	
Mark 11:24	πιστεύετε	V-PAM-2P	V-PAM-2P	4100&5720	πιστεύω	πιστεύετε	
Mark 11:24	ὅτι	CONJ	CONJ	3754	ὅτι	ὅτι	
Mark 11:24	ἐλάβετε,	V-2AAI-2P	V-2AAI-2P	2983&5627	λαμβάνω	ἐλάβετε	
Mark 11:24	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:24	ἔσται	V-FDI-3S	V-FDI-3S	1510&5695	εἰμί	ἔσται	
Mark 11:24	ὑμῖν.	P-2DP	P-2DP	4771	σύ	ὑμῖν	
Mark 11:25	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:25	ὅταν	CONJ	CONJ	3752	ὅταν	ὅταν	
Mark 11:25	στήκετε	V-PAI-2P	V-PAI-2P	4739&5719	στήκω	στήκετε	
Mark 11:25	προσευχόμενοι,	V-PNP-NPM	V-PNP-NPM	4336&5740	προσεύχομαι	προσευχόμενοι	
Mark 11:25	ἀφίετε	V-PAM-2P	V-PAM-2P	863&5720	ἀφίημι	ἀφίετε	
Mark 11:25	εἴ	COND	COND	1487	εἰ	εἴ	
Mark 11:25	τι	X-ASN	X-ASN	5100	τὶς	τι	
Mark 11:25	ἔχετε	V-PAI-2P	V-PAI-2P	2192&5719	ἔχω	ἔχετε	
Mark 11:25	κατά	PREP	PREP	2596	κατά	κατά	
Mark 11:25	τινος,	X-GSM	X-GSM	5100	τὶς	τινος	
Mark 11:25	ἵνα	CONJ	CONJ	2443	ἵνα	ἵνα	
Mark 11:25	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:25	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
Mark 11:25	Πατὴρ	N-NSM	N-NSM	3962	πατήρ	Πατήρ	
Mark 11:25	ὑμῶν	P-2GP	P-2GP	4771	σύ	ὑμῶν	
Mark 11:25	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
Mark 11:25	ἐν	PREP	PREP	1722	ἐν	ἐν	
Mark 11:25	τοῖς	T-DPM	T-DPM	3588	ὁ	τοῖς	
Mark 11:25	οὐρανοῖς	N-DPM	N-DPM	3772	οὐρανός	οὐρανοῖς	
Mark 11:25	ἀφῇ	V-2AAS-3S	V-2AAS-3S	863&5632	ἀφίημι	ἀφῇ	
Mark 11:25	ὑμῖν	P-2DP	P-2DP	4771	σύ	ὑμῖν	
Mark 11:25	τὰ	T-APN	T-APN	3588	ὁ	τά	
Mark 11:25	παραπτώματα	N-APN	N-APN	3900	παράπτωμα	παραπτώματα	
Mark 11:25	ὑμῶν.	P-2GP	P-2GP	4771	σύ	ὑμῶν	
Mark 11:27	Καὶ	CONJ	CONJ	2532	καί	Καί	
Mark 11:27	ἔρχονται	V-PNI-3P	V-PNI-3P	2064&5736	ἔρχομαι	ἔρχονται	
Mark 11:27	πάλιν	ADV	ADV	3825	πάλιν	πάλιν	
Mark 11:27	εἰς	PREP	PREP	1519	εἰς	εἰς	
Mark 11:27	Ἱεροσόλυμα.	N-APN	N-APN	2414	Ἱεροσόλυμα	Ἱεροσόλυμα	
Mark 11:27	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:27	ἐν	PREP	PREP	1722	ἐν	ἐν	
Mark 11:27	τῷ	T-DSN	T-DSN	3588	ὁ	τῷ	
Mark 11:27	ἱερῷ	N-DSN	N-DSN	2411	ἱερός	ἱερῷ	
Mark 11:27	περιπατοῦντος	V-PAP-GSM	V-PAP-GSM	4043&5723	περιπατέω	περιπατοῦντος	
Mark 11:27	αὐτοῦ	P-GSM	P-GSM	846	αὐτός	αὐτοῦ	
Mark 11:27	ἔρχονται	V-PNI-3P	V-PNI-3P	2064&5736	ἔρχομαι	ἔρχονται	
Mark 11:27	πρὸς	PREP	PREP	4314	πρός	πρός	
Mark 11:27	αὐτὸν	P-ASM	P-ASM	846	αὐτός	αὐτόν	
Mark 11:27	οἱ	T-NPM	T-NPM	3588	ὁ	οἱ	
Mark 11:27	ἀρχιερεῖς	N-NPM	N-NPM	749	ἀρχιερεύς	ἀρχιερεῖς	
Mark 11:27	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:27	οἱ	T-NPM	T-NPM	3588	ὁ	οἱ	
Mark 11:27	γραμματεῖς	N-NPM	N-NPM	1122	γραμματεύς	γραμματεῖς	
Mark 11:27	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:27	οἱ	T-NPM	T-NPM	3588	ὁ	οἱ	
Mark 11:27	πρεσβύτεροι,	A-NPM-C	A-NPM-C	4245	πρεσβύτερος	πρεσβύτεροι	
Mark 11:28	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:28	ἔλεγον	V-IAI-3P	V-IAI-3P	3004&5707	λέγω	ἔλεγον	
Mark 11:28	αὐτῷ	P-DSM	P-DSM	846	αὐτός	αὐτῷ	
Mark 11:28	Ἐν	PREP	PREP	1722	ἐν	Ἐν	
Mark 11:28	ποίᾳ	I-DSF	I-DSF	4169	ποῖος	ποίᾳ	
Mark 11:28	ἐξουσίᾳ	N-DSF	N-DSF	1849	ἐξουσία	ἐξουσίᾳ	
Mark 11:28	ταῦτα	D-APN	D-APN	3778	οὗτος	ταῦτα	
Mark 11:28	ποιεῖς;	V-PAI-2S	V-PAI-2S	4160&5719	ποιέω	ποιεῖς	
Mark 11:28	ἢ	PRT	PRT	2228	ἤ	ἤ	
Mark 11:28	τίς	I-NSM	I-NSM	5101	τίς	τίς	
Mark 11:28	σοι	P-2DS	P-2DS	4771	σύ	σοι	
Mark 11:28	ἔδωκεν	V-AAI-3S	V-AAI-3S	1325&5656	δίδωμι	ἔδωκεν	
Mark 11:28	τὴν	T-ASF	T-ASF	3588	ὁ	τήν	
Mark 11:28	ἐξουσίαν	N-ASF	N-ASF	1849	ἐξουσία	ἐξουσίαν	
Mark 11:28	ταύτην	D-ASF	D-ASF	3778	οὗτος	ταύτην	
Mark 11:28	ἵνα	CONJ	CONJ	2443	ἵνα	ἵνα	
Mark 11:28	ταῦτα	D-APN	D-APN	3778	οὗτος	ταῦτα	
Mark 11:28	ποιῇς;	V-PAS-2S	V-PAS-2S	4160&5725	ποιέω	ποιῇς	
Mark 11:29	ὁ	T-NSM	T-NSM	3588	ὁ	ὁ	
Mark 11:29	δὲ	CONJ	CONJ	1161	δέ	δέ	
Mark 11:29	Ἰησοῦς	N-NSM	N-NSM	2424	Ἰησοῦς	Ἰησοῦς	
Mark 11:29	εἶπεν	V-2AAI-3S	V-2AAI-3S	3004&5627	λέγω	εἶπεν	
Mark 11:29	αὐτοῖς	P-DPM	P-DPM	846	αὐτός	αὐτοῖς	
Mark 11:29	Ἐπερωτήσω	V-FAI-1S	V-FAI-1S	1905&5692	ἐπερωτάω	Ἐπερωτήσω	
Mark 11:29	ὑμᾶς	P-2AP	P-2AP	4771	σύ	ὑμᾶς	
Mark 11:29	ἕνα	A-ASM	A-ASM	1520	εἷς	ἕνα	
Mark 11:29	λόγον,	N-ASM	N-ASM	3056	λόγος	λόγον	
Mark 11:29	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:29	ἀποκρίθητέ	V-AOM-2P	V-AOM-2P	611&5676	ἀποκρίνομαι	ἀποκρίθητε	
Mark 11:29	μοι,	P-1DS	P-1DS	1473	ἐγώ	μοι	
Mark 11:29	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:29	ἐρῶ	V-FAI-1S	V-FAI-1S	2046&5692	εἶπον	ἐρῶ	
Mark 11:29	ὑμῖν	P-2DP	P-2DP	4771	σύ	ὑμῖν	
Mark 11:29	ἐν	PREP	PREP	1722	ἐν	ἐν	
Mark 11:29	ποίᾳ	I-DSF	I-DSF	4169	ποῖος	ποίᾳ	
Mark 11:29	ἐξουσίᾳ	N-DSF	N-DSF	1849	ἐξουσία	ἐξουσίᾳ	
Mark 11:29	ταῦτα	D-APN	D-APN	3778	οὗτος	ταῦτα	
Mark 11:29	ποιῶ.	V-PAI-1S	V-PAI-1S	4160&5719	ποιέω	ποιῶ	
Mark 11:30	τὸ	T-NSN	T-NSN	3588	ὁ	τό	
Mark 11:30	βάπτισμα	N-NSN	N-NSN	908	βάπτισμα	βάπτισμα	
Mark 11:30	τὸ	T-NSN	T-NSN	3588	ὁ	τό	
Mark 11:30	Ἰωάνου	N-GSM	N-GSM	2491	Ἰωάννης	Ἰωάνου	
Mark 11:30	ἐξ	PREP	PREP	1537	ἐκ	ἐξ	
Mark 11:30	οὐρανοῦ	N-GSM	N-GSM	3772	οὐρανός	οὐρανοῦ	
Mark 11:30	ἦν	V-IAI-3S	V-IAI-3S	1510&5707	εἰμί	ἦν	
Mark 11:30	ἢ	PRT	PRT	2228	ἤ	ἤ	
Mark 11:30	ἐξ	PREP	PREP	1537	ἐκ	ἐξ	
Mark 11:30	ἀνθρώπων;	N-GPM	N-GPM	444	ἄνθρωπος	ἀνθρώπων	
Mark 11:30	ἀποκρίθητέ	V-AOM-2P	V-AOM-2P	611&5676	ἀποκρίνομαι	ἀποκρίθητε	
Mark 11:30	μοι.	P-1DS	P-1DS	1473	ἐγώ	μοι	
Mark 11:31	καὶ	CONJ	CONJ	2532	καί	καί	
Mark 11:31	διελογίζοντο	V-INI-3P	V-INI-3P	1260&5711	διαλογίζομαι	διελογίζοντο	
Mark 11:31	πρὸς	PREP	PREP	4314	πρός	πρός	
Mark 11:31	ἑαυτοὺς	F-3APM	F-3APM	1438	ἑαυτοῦ	ἑαυτούς	
Mark 11:31	λέγοντες	V-PAP-NPM	V-PAP-NPM	3004&5723	λέγω	λέγοντες	
Mark 11:31	Ἐὰν	COND	COND	1437	ἐάν	Ἐάν	
Mark 11:31	εἴπωμεν	V-2AAS-1P	V-2AAS-1P	3004&5632	λέγω	εἴπωμεν	
Mark 11:31	Ἐξ	PREP	PREP	1537	ἐκ	Ἐξ	
