BCV	text	func_morph	form_morph	strongs	lemma	normalized
Matt 1:5	Ῥαχάβ,	N-PRI	N-PRI	4477	Ῥαχάβ	Ῥαχάβ	
Matt 1:5	Βόες	N-PRI	N-PRI	1003	Βόες	Βόες	
Matt 1:5	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:5	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:5	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:5	Ἰωβὴδ	N-PRI	N-PRI	5601	Ἰωβήδ	Ἰωβήδ	
Matt 1:5	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
Matt 1:5	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:5	Ῥούθ,	N-PRI	N-PRI	4503	Ῥούθ	Ῥούθ	
Matt 1:5	Ἰωβὴδ	N-PRI	N-PRI	5601	Ἰωβήδ	Ἰωβήδ	
Matt 1:5	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:5	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:5	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:5	Ἰεσσαί,	N-PRI	N-PRI	2421	Ἰεσσαί	Ἰεσσαί	
Matt 1:6	Ἰεσσαὶ	N-PRI	N-PRI	2421	Ἰεσσαί	Ἰεσσαί	
Matt 1:6	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:6	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:6	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:6	Δαυεὶδ	N-PRI	N-PRI	1138	Δαυίδ	Δαυείδ	
Matt 1:6	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:6	βασιλέα.	N-ASM	N-ASM	935	βασιλεύς	βασιλέα	
Matt 1:6	Δαυεὶδ	N-PRI	N-PRI	1138	Δαυίδ	Δαυείδ	
Matt 1:6	δὲ	CONJ	CONJ	1161	δέ	δέ	
Matt 1:6	ἐγέννησεν	V-AAI-3S	V-AAI-3S	1080&5656	γεννάω	ἐγέννησεν	
Matt 1:6	τὸν	T-ASM	T-ASM	3588	ὁ	τόν	
Matt 1:6	Σολομῶνα	N-ASM	N-ASM	4672	Σολομών	Σολομῶνα	
Matt 1:6	ἐκ	PREP	PREP	1537	ἐκ	ἐκ	
Matt 1:6	τῆς	T-GSF	T-GSF	3588	ὁ	τῆς	
Matt 1:6	τοῦ	T-GSM	T-GSM	3588	ὁ	τοῦ	
Matt 1:6	Οὐρίου,	N-GSM	N-GSM	3774	Οὐρίας	Οὐρίου	
Matt 1:7	Σολομὼν	N-NSM	N-NSM	4672	Σολομών	Σολομών	
